player,player2,team,hs acc,acc spotted,acc all,acc spray,counter strafe,crosshair_placement,time_to_damage,sens,teams,role,mouse,mouse2,length,width,height,size,weight,type,mouse_hertz,dpi,edpi,zoom_sens,accel,windows_sens,raw_input,hertz,resolution,aspect_ratio,mouse_pad,speed
stavn,stavn,Heroic,16.61%,36.84%,15.38%,40.43%,74.68%,9.63 °,464 ms,2.6,Heroic,Rifler,Zowie EC2-A,Zowie EC2-A,12,6.4,4,M,93,Ergonomic,"1,000",400,"1,040",1,0,6,1,240,1024x768,4:03,SteelSeries QcK Heavy,5
Stewie2k,Stewie2K,Liquid,20.19%,37.77%,17.69%,38.27%,79.37%,11.08 °,507 ms,2,Liquid,Rifler,SteelSeries Sensei Raw,SteelSeries Sensei Raw,12.55,6.83,3.87,M,90,Ambidextrous,"1,000",450,900,1.1,0,6,1,360,1024x768,4:03,SteelSeries QcK Large,5
STYKO,STYKO,FunPlus Phoenix,24.73%,37.13%,14.69%,34.97%,75.56%,9.55 °,488 ms,1.4,FPX,Rifler,Logitech G Pro Wireless,Logitech G Pro Wireless,12.5,6.35,4,M / L,80,Ambidextrous,"1,000",400,560,0.8,0,6,1,240,1440x1080,4:03,Zowie G-SR,5
svyat,svyat,AVE,20.29%,35.04%,16.40%,36.63%,84.25%,12.56 °,547 ms,0.63,FA,Rifler,Cooler Master MM530,Cooler Master Mastermouse MM530,12.48,6.04,4.02,M / L,99,Ergonomic,"1,000","1,200",750,0.8,0,6,1,240,1920x1080,16:09,SteelSeries QcK Heavy,5
syrsoN,syrsoN,BIG,27.14%,47.55%,29.73%,14.83%,53.50%,7.43 °,464 ms,0.92,BIG,AWPer,Logitech G Pro X Superlight White,Logitech G Pro X Superlight,12.5,6.35,4,M / L,63,Ambidextrous,"1,000","1,600","1,472",0.9,0,6,1,240,1280x960,4:03,Zowie G-SR-SE Divina Blue Edition,4
tabseN,tabseN,BIG,22.49%,40.38%,15.44%,44.36%,82.44%,10.52 °,557 ms,1.28,BIG,AWPer,Logitech G Pro X Superlight White,Logitech G Pro X Superlight,12.5,6.35,4,M / L,63,Ambidextrous,"1,000",400,512,1.1,0,6,1,360,1920x1080,16:09,Corsair MM250,6
TACO,TACO,GODSENT,21.75%,39.02%,13.49%,36.14%,84.02%,10.57 °,554 ms,1.5,GODSENT,Rifler,Razer Viper Ultimate,Razer Viper Ultimate,12.67,6.62,3.781,M,74,Ambidextrous,"1,000",400,600,1,0,6,1,240,1152x864,4:03,GFallen Legends,4
tarik,tarik,Evil Geniuses,14.27%,40.81%,18.20%,43.06%,77.21%,12.34 °,530 ms,1.1,FA,Rifler,Razer Viper Ultimate,Razer Viper Ultimate,12.67,6.62,3.781,M,74,Ambidextrous,"1,000",800,880,1,0,6,1,144,1920x1080,16:09,Razer Gigantus V2,5
teses,TeSeS,Heroic,22.67%,38.14%,16.93%,41.45%,79.49%,10.97 °,515 ms,1.1,Heroic,Rifler,Logitech G Pro X Superlight Black,Logitech G Pro X Superlight,12.5,6.35,4,M / L,63,Ambidextrous,"1,000",800,880,1,0,6,1,240,1280x960,4:03,SteelSeries QcK Heavy,5
Thomas,Thomas,Endpoint,15.15%,38.09%,15.72%,40.89%,76.40%,10.78 °,534 ms,1.4,Endpoint,Rifler,Zowie FK2,Zowie FK2,12.4,5.8,3.6,S,85,Ambidextrous,"1,000",400,560,1,0,6,1,240,1920x1080,16:09,HyperX FURY S Speed Edition,4
tizian,tiziaN,BIG,20.08%,37.74%,13.58%,43.44%,77.05%,11.22 °,525 ms,1.7,BIG,Rifler,Logitech G Pro X Superlight White,Logitech G Pro X Superlight,12.5,6.35,4,M / L,63,Ambidextrous,"1,000",400,680,1,0,6,1,240,1920x1080,16:09,Logitech G640,5
twist,twist,MANS NOT HOT,17.76%,35.71%,12.68%,39.34%,78.90%,9.47 °,505 ms,2,FA,Rifler,Glorious Model D Matte Black,Glorious Model D,12.8,6.3,4.2,M/L,68,Ergonomic,"1,000",400,800,1,0,6,1,240,1600x900,16:09,SteelSeries QcK Heavy,5
v1c7oR,v1c7oR,Fiend,18.34%,35.61%,15.69%,40.45%,77.14%,9.81 °,543 ms,1.7,Fiend,Rifler,Logitech G Pro Wireless,Logitech G Pro Wireless,12.5,6.35,4,M / L,80,Ambidextrous,"1,000",450,765,1,0,6,1,144,1280x960,4:03,Zowie G-SR DG,4
valde,valde,OG,20.78%,43.29%,14.25%,43.89%,85.43%,9.76 °,555 ms,1.65,OG,Rifler,Logitech G Pro Wireless,Logitech G Pro Wireless,12.5,6.35,4,M / L,80,Ambidextrous,"1,000",400,660,1,0,6,1,240,1280x960,4:03,SteelSeries QcK Heavy,5
VINI,VINI,FURIA,18.38%,39.57%,15.74%,46.38%,79.92%,10.55 °,517 ms,0.48,FURIA,Rifler,Logitech G Pro Wireless,Logitech G Pro Wireless,12.5,6.35,4,M / L,80,Ambidextrous,"1,000","1,600",764,1,0,6,1,240,1920x1080,16:09,Gigabyte Aorus AMP500,2
vsm,vsm,O PLANO,20.05%,42.44%,18.37%,45.15%,83.33%,9.38 °,531 ms,1.2,00Nation,Rifler,Zowie EC2-A,Zowie EC2-A,12,6.4,4,M,93,Ergonomic,"1,000",800,960,1,0,6,1,240,1152x864,4:03,Razer Gigantus Team Razer Edition,6
xms,xms,Free agent,23.47%,38.14%,19.50%,38.57%,79.64%,13.54 °,537 ms,1.42,Retired,Rifler,Logitech G703,Logitech G703,12.4,6.8,4.3,L,107,Ergonomic,"1,000",800,"1,136",1,0,0,0,240,1280x800,16:10,Zowie G-SR,5
yuurih,yuurih,FURIA,16.52%,39.50%,16.22%,43.21%,77.35%,9.56 °,484 ms,2.5,FURIA,Rifler,Logitech G Pro X Superlight Black,Logitech G Pro X Superlight,12.5,6.35,4,M / L,63,Ambidextrous,"1,000",400,"1,000",1,0,6,1,240,1024x768,4:03,HyperX FURY S Pro,4
ZEDKO,ZEDKO,Sinners,23.80%,42.02%,22.05%,45.97%,87.06%,10.47 °,536 ms,0.95,SINNERS,Rifler,Xtrfy M4 Black,Xtrfy M4,12.07,5.76,3.94,M,67,Ergonomic,"1,000",800,760,0.5,0,6,1,240,1152x864,4:03,Zowie G-SR,5
zehN,zehN,FunPlus Phoenix,20.54%,44.94%,21.14%,44.65%,85.75%,10.2 °,518 ms,1.5,FPX,Rifler,Logitech G Pro Wireless,Logitech G Pro Wireless,12.5,6.35,4,M / L,80,Ambidextrous,"1,000",400,600,1,0,5,1,240,1280x960,4:03,Logitech G440,1
