player,player2,team,hs acc,acc spotted,acc all,acc spray,counter strafe,crosshair_placement,time_to_damage,sens,teams,role,mouse,mouse2,length,width,height,size,weight,type,mouse_hertz,dpi,edpi,zoom_sens,accel,windows_sens,raw_input,hertz,resolution,aspect_ratio,mouse_pad,speed
flusha,flusha,GORILLAZ,16.13%,35.74%,14.22%,37.32%,77.19%,10.2 °,530 ms,1.9,GORILLAZ,Rifler,Logitech G703 White Edition,Logitech G703,12.4,6.8,4.3,L,107,Ergonomic,"1,000",400,760,0.87,0,6,1,240,1024x768,4:03,Fnatic Gear FOCUS 2,4
Forester,Forester,Entropiq,20.84%,38.39%,18.31%,39.92%,85.15%,10.49 °,525 ms,0.7,Entropiq,Rifler,Zowie FK2,Zowie FK2,12.4,5.8,3.6,S,85,Ambidextrous,"1,000",800,560,1,0,6,1,240,1280x1024,4:03,HyperX FURY S Speed Edition,4
Furlan,Furlan,AGO,22.51%,36.36%,14.44%,37.36%,79.42%,10.65 °,563 ms,1.3,AGO,Rifler,Zowie EC1-A,Zowie EC1-A,12.8,6.9,4.3,L,94,Ergonomic,"1,000",800,"1,040",1,0,6,1,240,1440x1080,4:03,SteelSeries QcK+,5
gade,gade,North,20.38%,45.19%,19.71%,50.52%,82.82%,11.82 °,518 ms,2.2,BIG,Rifler,Zowie EC1-B,Zowie EC1-B,12.8,6.9,4.3,L,94,Ergonomic,"1,000",400,880,1,0,6,1,240,1280x960,4:03,Zowie G-SR,5
gla1ve,gla1ve,Astralis,17.96%,36.71%,14.44%,40.33%,74.12%,10.35 °,515 ms,2.1,Astralis,Rifler,Zowie EC1-A,Zowie EC1-A,12.8,6.9,4.3,L,94,Ergonomic,"1,000",400,840,1,0,6,1,240,1280x960,4:03,Logitech G640 Astralis Edition,5
Golden,Golden,fnatic,21.03%,35.49%,12.64%,39.35%,75.28%,9.8 °,510 ms,1.6,FA,Rifler,Zowie EC2-A,Zowie EC2-A,12,6.4,4,M,93,Ergonomic,"1,000",400,640,1,0,6,1,240,1280x960,4:03,Fnatic Gear DASH,3
grim,Grim,Liquid,17.14%,42.84%,20.47%,48.55%,77.18%,11.48 °,505 ms,1.35,Liquid,Rifler,Logitech G Pro X Superlight Black,Logitech G Pro X Superlight,12.5,6.35,4,M / L,63,Ambidextrous,"1,000",400,540,1,0,6,1,240,1920x1080,16:09,X-raypad ROB Strata Aqua Control Plus,4
hades,hades,ENCE,21.10%,44.01%,22.23%,42.20%,75.82%,8.14 °,502 ms,1.3,ENCE,AWPer,Logitech G Pro X Superlight White,Logitech G Pro X Superlight,12.5,6.35,4,M / L,63,Ambidextrous,"1,000",800,"1,040",1,0,6,1,240,1280x1024,5:04,Zowie G-SR,5
Hampus,hampus,NiP,16.35%,44.96%,18.37%,47.56%,84.69%,9.22 °,496 ms,1.67,NiP,Rifler,Razer DeathAdder Elite,Razer DeathAdder Elite,12.7,7,4.4,L,105,Ergonomic,"1,000",400,668,0.78,0,6,1,240,1280x800,16:10,QPAD FX-50,3
HObbit,Hobbit,Gambit,17.61%,44.33%,18.61%,41.97%,86.22%,10.51 °,524 ms,1.1,Gambit,Rifler,Logitech G Pro X Superlight White,Logitech G Pro X Superlight,12.5,6.35,4,M / L,63,Ambidextrous,"1,000",800,880,0.75,0,6,1,240,1280x960,4:03,SteelSeries QcK+,5
